tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|TPTW|TPT Global Tech, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|72800|12|2019-06-24
OTC|TREP|Trucept, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|51999|5|2019-06-24
OTC|TREVF|Trevali Mining Corp. Common shares (Canada)|ARCA GLOBAL OTC|ARCA|9000|3|2019-06-24
OTC|TRGM|Targeted  Medical Pharma Inc Common Stock|ARCA GLOBAL OTC|ARCA|18000|4|2019-06-24
OTC|TRLFF|True Leaf Medicine International Inc. Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|28477|8|2019-06-24
OTC|TRLFF|True Leaf Medicine International Inc. Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-24
OTC|TRON|Toron, Inc. Common|OTCX OTC LINK ECN ATS|OTCX|88000|1|2019-06-24
OTC|TRRSF|TRISURA GROUP LTD-WI Ordinary Shares|ARCA GLOBAL OTC|ARCA|301|2|2019-06-24
OTC|TRRSF|TRISURA GROUP LTD-WI Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|1|1|2019-06-24
OTC|TRSI|Trophy Resources Inc. Common Stock|ARCA GLOBAL OTC|ARCA|22000|1|2019-06-24
OTC|TRSI|Trophy Resources Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|55555|1|2019-06-24
OTC|TRTC|Terra Tech Corp Common Stock|ARCA GLOBAL OTC|ARCA|1133|3|2019-06-24
OTC|TRTC|Terra Tech Corp Common Stock|OTCX OTC LINK ECN ATS|OTCX|5607|8|2019-06-24
OTC|TRUL|Trulite, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|95|1|2019-06-24
OTC|TRUU|True Drinks Holdings, Inc Common Stock|ARCA GLOBAL OTC|ARCA|18200|3|2019-06-24
OTC|TRYIY|Toray Industries Inc ADR|ARCA GLOBAL OTC|ARCA|47977|123|2019-06-24
OTC|TRYIY|Toray Industries Inc ADR|OTCX OTC LINK ECN ATS|OTCX|200|2|2019-06-24
OTC|TSCDY|Tesco Plc  Ord American Depositary Shares|ARCA GLOBAL OTC|ARCA|69891|118|2019-06-24
OTC|TSCDY|Tesco Plc  Ord American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-24
OTC|TSGTY|Tsingtao Brewery Ltd Sponsored ADR Representing Cl H Shs (China)|ARCA GLOBAL OTC|ARCA|200|2|2019-06-24
OTC|TSOI|Therapeutic Solutions International, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|527450|3|2019-06-24
OTC|TSOI|Therapeutic Solutions International, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|634550|3|2019-06-24
OTC|TSRYY|Treasury Wine Estates Ltd. Sponsored American Depository Receipt (Australia)|ARCA GLOBAL OTC|ARCA|4455|11|2019-06-24
OTC|TSSI|TSS, Inc.|ARCA GLOBAL OTC|ARCA|15900|15|2019-06-24
OTC|TSSI|TSS, Inc.|OTCX OTC LINK ECN ATS|OTCX|11056|6|2019-06-24
OTC|TTCM|Tautachrome Inc. Common Stock|ARCA GLOBAL OTC|ARCA|3275809|28|2019-06-24
OTC|TTCM|Tautachrome Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|25240617|144|2019-06-24
OTC|TTDKY|TDK Corporation Common Stock|ARCA GLOBAL OTC|ARCA|3130|33|2019-06-24
OTC|TTDKY|TDK Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|2000|6|2019-06-24
OTC|TTEN|Titan Energy, LLC Common Stock Repstg Ltd Liability Co Int|ARCA GLOBAL OTC|ARCA|1250|1|2019-06-24
OTC|TTNDY|Techtronic Industries Company Ltd American Depositary Shares|ARCA GLOBAL OTC|ARCA|7279|24|2019-06-24
OTC|TTNDY|Techtronic Industries Company Ltd American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|1200|2|2019-06-24
OTC|TUIFY|TUI AG Unsponsored ADR representing Namen AKT (Germany)|ARCA GLOBAL OTC|ARCA|1800|4|2019-06-24
OTC|TURA|Turbine Aviation, Inc Common Stock|ARCA GLOBAL OTC|ARCA|972|5|2019-06-24
OTC|TURA|Turbine Aviation, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|998|7|2019-06-24
OTC|TURV|Two Rivers Water & Farming Company Common Stock|ARCA GLOBAL OTC|ARCA|1500|1|2019-06-24
OTC|TURV|Two Rivers Water & Farming Company Common Stock|OTCX OTC LINK ECN ATS|OTCX|5000|2|2019-06-24
OTC|TUWOY|Tullow Oil Plc Unsponsored ADR (United Kingdom)|ARCA GLOBAL OTC|ARCA|4919|4|2019-06-24
OTC|TVLF|Tennessee Valley Financial Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|100|1|2019-06-24
OTC|TVMD|24/7 Kid Doc, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|2600|1|2019-06-24
OTC|TVMD|24/7 Kid Doc, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|240400|14|2019-06-24
OTC|TVOG|Turner Valley Oil & Gas, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|10000|1|2019-06-24
OTC|TWCF|Town and Country Financial Corporation (IL) Common Stock|ARCA GLOBAL OTC|ARCA|200|2|2019-06-24
OTC|TWCF|Town and Country Financial Corporation (IL) Common Stock|OTCX OTC LINK ECN ATS|OTCX|500|1|2019-06-24
OTC|TWOH|Two Hands Corporation Common Stock|ARCA GLOBAL OTC|ARCA|1000|1|2019-06-24
OTC|TXGE|Texas Gulf Energy, Incorporated. Common Stock|ARCA GLOBAL OTC|ARCA|15000|3|2019-06-24
OTC|TXHG|TX Holdings, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|166284|10|2019-06-24
OTC|TYOYY|Taiyo Yuden Ltd American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-24
OTC|UAHC|United American Healthcare Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|27569|16|2019-06-24
OTC|UAMM|UA Multimedia, Inc. Common Stock New|ARCA GLOBAL OTC|ARCA|275000|5|2019-06-24
OTC|UBMCF|United Battery Metals Corp Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-24
OTC|UBQU|Ubiquitech Software Corp. Common Stock|ARCA GLOBAL OTC|ARCA|2500000|11|2019-06-24
OTC|UBSFY|Ubi Soft Entertainment Sa Unsponsored ADR (France)|ARCA GLOBAL OTC|ARCA|140741|105|2019-06-24
OTC|UBSFY|Ubi Soft Entertainment Sa Unsponsored ADR (France)|OTCX OTC LINK ECN ATS|OTCX|18236|44|2019-06-24
OTC|UCSO|United Consortium Ltd Common Stock New|ARCA GLOBAL OTC|ARCA|13200|4|2019-06-24
OTC|UDHI|Union Dental Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|100000|2|2019-06-24
OTC|UEEC|United Health Products, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|5000|2|2019-06-24
OTC|UEXCF|UEX Corp Ordinary Shares|ARCA GLOBAL OTC|ARCA|10839|3|2019-06-24
OTC|UEXCF|UEX Corp Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|10000|1|2019-06-24
OTC|UFMG|Universal Mfg. Co. Common Stock|OTCX OTC LINK ECN ATS|OTCX|2500|1|2019-06-24
OTC|UGDM|Universal Gold Mining Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|665000|12|2019-06-24
OTC|UGHL|Union Bridge Holdings Limited Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|3000|2|2019-06-24
OTC|ULGX|Urologix, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|30000|3|2019-06-24
OTC|UMAM|Umami Sustainable Seafood Inc. Common Stock|ARCA GLOBAL OTC|ARCA|3200|1|2019-06-24
OTC|UMFG|UMF Group Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1580|1|2019-06-24
OTC|UMICY|Umicore Group Unsponsored ADR (Belgium)|ARCA GLOBAL OTC|ARCA|29169|25|2019-06-24
OTC|UMICY|Umicore Group Unsponsored ADR (Belgium)|OTCX OTC LINK ECN ATS|OTCX|10689|10|2019-06-24
OTC|UNIB|University Bancorp Inc Michigan Common Stock|ARCA GLOBAL OTC|ARCA|1|1|2019-06-24
OTC|UNICY|Unicharm Corp Sponsored ADR (Japan)|ARCA GLOBAL OTC|ARCA|24090|65|2019-06-24
OTC|UNICY|Unicharm Corp Sponsored ADR (Japan)|OTCX OTC LINK ECN ATS|OTCX|6120|14|2019-06-24
OTC|UNIF|U&I Financial Corporation Common Stock|ARCA GLOBAL OTC|ARCA|200|2|2019-06-24
OTC|UNIR|Uniroyal Global Engineered Products, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|500|1|2019-06-24
OTC|UNSS|Universal Solar Technology, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|22000|2|2019-06-24
OTC|UNSS|Universal Solar Technology, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|50000|2|2019-06-24
OTC|UNVC|Univec, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|400000|3|2019-06-24
OTC|UNVC|Univec, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|861000|6|2019-06-24
OTC|UNXLQ|UNI-PIXEL INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|244233|4|2019-06-24
OTC|UOVEY|United Overseas Bk Singapore American Depositary Shares|ARCA GLOBAL OTC|ARCA|5876|38|2019-06-24
OTC|UPCO|Universal Potash Corp. Common Stock|ARCA GLOBAL OTC|ARCA|54710|2|2019-06-24
OTC|UPIN|Universal Power Industry Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|34130|3|2019-06-24
OTC|UPMKY|UPM-Kymmene Oyj Common Stock|ARCA GLOBAL OTC|ARCA|5525|16|2019-06-24
OTC|UPPR|Upper Street Marketing, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|2000|2|2019-06-24
OTC|UPZS|Unique Foods Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|35000|2|2019-06-24
OTC|URBT|Urban Television Network Corporation Common Stock|ARCA GLOBAL OTC|ARCA|200|1|2019-06-24
OTC|URLOF|NameSilo Technologies Corp Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|5000|1|2019-06-24
OTC|URPTF|Uranium Participation Corp Common Shares (Canada)|ARCA GLOBAL OTC|ARCA|15100|19|2019-06-24
OTC|URPTF|Uranium Participation Corp Common Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|15900|13|2019-06-24
OTC|USGDF|American Pacific Mining Corp. Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|34000|12|2019-06-24
OTC|USGDF|American Pacific Mining Corp. Ordinary Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|13000|4|2019-06-24
OTC|USLG|US Lighting Group, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1000|1|2019-06-24
OTC|USLG|US Lighting Group, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|2000|2|2019-06-24
OTC|USMJ|North American Cannabis Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|500000|2|2019-06-24
OTC|USNZY|Usinas Siderurgicas de Minas Gerais S.A. Sponsored ADR Reg S|ARCA GLOBAL OTC|ARCA|5400|8|2019-06-24
OTC|USRM|U.S. Stem Cell, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|75000|3|2019-06-24
OTC|USRM|U.S. Stem Cell, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|24398|3|2019-06-24
OTC|USTC|USA Real Estate Holding Company Common Stock|ARCA GLOBAL OTC|ARCA|102604|2|2019-06-24
OTC|UUGRY|United Utilities Group Plc Sponsored ADR (UK)|ARCA GLOBAL OTC|ARCA|9670|36|2019-06-24
OTC|UVFT|UV Flu Technologies, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-24
OTC|UWTIF|CREDIT SUISSE AG NASSAU BRH Other|ARCA GLOBAL OTC|ARCA|12084|39|2019-06-24
OTC|UWTIF|CREDIT SUISSE AG NASSAU BRH Other|OTCX OTC LINK ECN ATS|OTCX|5379|14|2019-06-24
OTC|VAPE|Vape Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|15385|2|2019-06-24
OTC|VAPR|VaporBrands International, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|26199|4|2019-06-24
OTC|VASO|Vaso Corporation Common Stock|ARCA GLOBAL OTC|ARCA|10800|2|2019-06-24
OTC|VATE|Elev8 Brands, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|422750|10|2019-06-24
OTC|VAUCF|Viva Gold Corp Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|1100|2|2019-06-24
